Bedrooms,Bathrooms,Floor_num,Floor_area,Price
3,3,6,1180,5500000
4,4,3,1250,6800000
2,2,3,850,5100000
3,3,8,1220,7000000
2,2,5,850,5300000
4,4,4,2000,19000000
2,2,3,600,2300000
3,3,1,1350,12000000
2,2,4,680,4000000
3,4,2,2004,17500000
2,2,1,1330,19000000
3,4,3,1913,19700000
3,3,4,1420,11500000
3,3,6,1274,10500000
,,12,4372,65580000
18,10,,6800,79000000
3,3,4,1890,20000000
3,4,5,1500,13500000
3,3,5,2142,20500000
3,3,4,2200,21000000
3,3,2,1500,12000000
3,3,6,1250,8000000
3,3,5,1250,8000000
3,3,8,1150,8200000
3,4,2,1680,11000000
3,3,2,1400,8400000
3,3,6,1204,7500000
3,3,5,1350,9500000
4,4,5,2400,20800000
2,2,4,1050,6300000
3,2,3,1100,8500000
3,3,3,1700,13600000
3,3,3,1700,13600000
4,4,1,3660,109800000
3,3,1,1200,6700000
3,4,4,1370,9500000
3,2,1,1150,6500000
2,2,8,840,5000000
,,,3600,42000000
3,3,6,1450,9500000
,,,2160,29000000
3,2,1,1050,5500000
2,2,3,1050,5000000
2,2,5,650,3200000
3,3,3,1618,12500000
,,,3600,34000000
4,4,2,2280,25000000
3,3,6,1450,12000000
3,3,2,1290,6500000
3,3,1,1300,6000000
2,2,8,772,4300000
,,,2160,24500000
3,3,7,1495,7000000
2,2,1,650,3500000
2,2,4,650,3200000
3,3,6,1200,5500000
3,3,5,1200,5500000
3,3,1,1200,5500000
3,2,9,1120,5500000
2,2,3,800,4000000
3,2,1,1000,6000000
3,2,6,1030,6000000
3,3,9,1250,6700000
3,3,7,1105,7500000
3,3,2,2374,26500000
2,2,1,970,4000000
3,3,6,1239,11000000
2,2,5,1040,6200000
3,3,1,1350,8500000
3,3,1,1660,10500000
4,4,1,1497,9500000
3,2,4,1000,6500000
3,1,5,700,2000000
2,2,5,925,5500000
3,3,4,1250,7000000
3,3,4,1750,11000000
3,3,1,1750,16000000
3,3,7,1600,14500000
3,3,6,1350,13500000
2,2,8,852,4800000
3,3,5,1850,15725000
4,4,8,1675,11500000
3,3,2,1250,7500000
3,3,3,1250,7500000
2,2,5,700,3000000
3,3,3,1350,13500000
3,3,4,1400,8500000
2,2,2,970,8500000
4,4,10,1760,14500000
3,3,9,1360,7500000
3,3,1,1600,12800000
3,4,4,2060,32960000
3,4,2,2060,32960000
4,4,6,1960,23520000
3,3,8,1500,11500000
4,4,8,2110,28485000
2,2,5,750,2625000
4,4,2,1800,14400000
,,,2184,6000000
3,3,8,1120,5040000
3,3,12,1255,19452500
3,3,3,1250,5000000
4,4,9,2450,31000000
3,3,7,1300,11050000
3,3,6,1200,8700000
3,3,9,1450,11500000
3,3,5,1450,9500000
3,3,6,1680,8400000
3,2,3,1000,6500000
3,3,2,1100,6700000
3,3,2,1400,9200000
3,2,,950,7000000
2,2,4,950,6700000
3,3,2,1150,5750000
3,3,1,1350,10150000
4,4,6,2050,21525000
2,2,5,850,4000000
3,3,1,1120,5600000
3,3,5,1100,8000000
3,2,3,1100,4950000
3,3,2,1450,10150000
4,4,9,1940,13968000
3,3,3,1350,8000000
3,3,4,1322,9000000
4,3,1,1635,10627500
3,3,2,1850,14800000
3,3,1,1325,9275000
,,4,5000,60000000
3,3,5,1220,9500000
3,4,1,2025,19000000
3,3,8,1275,8600000
4,4,7,1570,12500000
2,2,6,800,5600000
2,2,8,950,6100000
2,2,8,1000,6500000
2,2,6,975,6300000
2,2,6,1000,6500000
2,2,3,980,5500000
2,2,3,975,6337500
3,3,2,1285,11000000
3,4,4,1610,23000000
,,,3640,24000000
2,2,4,650,2800000
3,3,1,1550,8600000
2,2,1,930,5200000
2,2,3,930,5200000
4,4,9,2400,26000000
3,3,4,1400,6300000
,,,3600,39000000
3,3,7,1310,9200000
2,2,5,850,2500000
3,2,5,1256,6500000
3,3,9,1200,6050000
3,3,9,1530,15500000
2,2,4,650,4600000
3,3,8,2150,18500000
3,4,3,1316,13500000
3,3,5,1325,6500000
3,3,5,1852,21500000
3,3,1,1210,6000000
3,4,5,1654,11000000
3,3,6,1275,12500000
,,8,2600,42900000
4,4,1,1955,25237500
3,3,2,1609,12800000
3,3,6,1500,12800000
3,3,6,1207,12870000
3,3,5,1400,6500000
3,3,4,1430,8580000
3,3,8,1310,7205000
2,2,5,650,2200000
2,2,2,850,5500000
,,10,3100,46500000
4,3,4,1600,12000000
3,3,1,1375,12000000
2,2,1,1050,5500000
,,2,130,4200000
3,3,9,1450,8675000
3,3,7,1400,8400000
3,3,2,1180,6500000
2,2,3,780,2730000
3,2,7,1100,4950000
3,2,5,1100,4950000
3,2,4,1100,4950000
3,2,3,1100,4950000
3,2,3,1100,4950000
3,3,13,1096,6600000
3,3,3,1365,7507500
3,3,5,1365,7507500
3,3,5,1365,7507500
3,4,6,2415,25500000
2,2,3,810,3402000
3,3,3,1550,11500000
3,3,7,1050,3750000
4,4,4,4200,50400000
3,3,4,1400,6300000
3,3,9,1400,6300000
2,2,6,1000,4500000
4,3,6,1518,10000000
4,4,8,1250,12500000
4,4,5,2230,16000000
3,2,3,1200,6500000
3,3,1,1050,4500000
2,2,2,650,4225000
3,3,3,1400,6300000
3,3,5,1400,6300000
2,2,2,1000,4500000
3,3,3,1090,6540000
3,3,3,1463,5852000
3,3,1,1650,7500000
3,2,3,1125,4775000
3,2,3,1125,4775000
3,2,8,1150,4870000
2,2,5,600,2600000
2,2,5,650,2200000
3,3,4,1250,9000000
3,3,6,1250,15000000
3,3,2,1350,11000000
3,3,9,1350,9000000
3,3,8,1250,7000000
4,5,7,2500,22500000
4,5,1,2380,29000000
3,3,5,1100,6100000
3,3,4,1100,6100000
4,4,6,2500,22500000
3,4,9,1900,12350000
,,1,5000,72500000
,,1,5000,72500000
,,1,1910,22920000
3,3,1,1308,6600000
,,4,2268,47000000
2,2,1,780,4000000
3,4,9,1515,12877500
,,1,2500,35000000
3,3,1,1370,8500000
3,3,5,1260,10710000
3,3,3,1500,12750000
3,3,2,1750,19200000
3,3,1,1750,19200000
3,3,6,1070,7490000
3,2,6,970,5000000
3,3,9,1475,8850000
3,2,1,900,4000000
3,3,4,1260,8000000
3,3,1,1596,10374000
3,3,2,1350,10800000
3,3,2,1657,10500000
